name,platform,year_of_release
Galaxy Fight,SAT,1994
J-League Pro Striker 2,GEN,1994
Castlevania Bloodlines,GEN,1994
First Queen: Ornic Senki,SNES,1994
Gaia Saver Hero Saidai no Sakusen,SNES,1994
Puzzle & Action: Tant-R,GEN,1994
Kidou Senshi V Gundam,SNES,1994
The Great Battle Gaiden 2: Matsuri da Wasshoi,SNES,1994
Mortal Kombat,PC,1994
Bust-A-Move,3DO,1994
Pebble Beach Golf Links,SAT,1994
Sugoi Hebereke,SNES,1994
World Class Rugby 2: Kokunai Gekitou Hen 93,SNES,1994
Super Mario Land 3: Wario Land,GB,1994
Doom II,PC,1994
Donkey Kong,GB,1994
Mortal Kombat II (US & Others sales),GEN,1994
Super Street Fighter II,SNES,1994
Mortal Kombat II,SNES,1994
The Lion King,SNES,1994
The Lion King,GEN,1994
Dragon Ball Z: La Legende Saien,SNES,1994
Mega Man X,SNES,1994
Capcom's Soccer Shootout,SNES,1994
Dragon Ball Z: Ultime Menace,SNES,1994
Fire Emblem: Monshou no Nazo,SNES,1994
Mega Man X2,SNES,1994
Virtual Soccer,SNES,1994
Mega Man 6,NES,1994
Fatal Fury 2,SNES,1994
Jikkyou Powerful Pro Yakuu '94,SNES,1994
Stunt Race FX,SNES,1994
Lord of Darkness,SNES,1994
Sailor Moon,SNES,1994
Drift King Shutokou Battle '94,SNES,1994
Shining Force II,GEN,1994
Mega Man Soccer,SNES,1994
Super Street Fighter II,GEN,1994
The King of Fighters '94 (CD),NG,1994
Illusion of Gaia,SNES,1994
The King of Fighters '94,NG,1994
Jikkyou Powerful Pro Yakyuu '95,PS,1994
Super Street Fighter II Turbo,3DO,1994
Lethal Enforcers,SNES,1994
King's Field (Japan),PS,1994
Dragon Slayer: Eiyuu Densetsu,GEN,1994
Ecco: The Tides of Time,GEN,1994
Teenage Mutant Ninja Turtles: Tournament Fighters,NES,1994
Ninja Warriors,SNES,1994
Streets of Rage 3,GEN,1994
Pop'n TwinBee: Rainbow Bell Adventure,SNES,1994
Dynamite Headdy,GEN,1994
Beyond Oasis,GEN,1994
Mortal Kombat II (JP sales),GEN,1994
World Class Rugby 2: Kokunai Gekitou Hen '93,SNES,1994
Donkey Kong Country 2: Diddys Kong Quest,SNES,1995
Warcraft II: Tides of Darkness,PC,1995
Super Mario World 2: Yoshis Island,SNES,1995
Namco Museum Vol.1,PS,1995
Tekken,PS,1995
Killer Instinct,SNES,1995
Dragon Quest VI: Maboroshi no Daichi,SNES,1995
Rayman,PS,1995
Kirbys Dream Land 2,G,1995
Chrono Trigger,SNES,1995
Virtua Fighter 2,SAT,1995
Air Combat,PS,1995
Twisted Metal,PS,1995
Romancing SaGa 3,SNES,1995
Road Rash,PS,1995
Sega Rally Championship,SAT,1995
Derby Stallion III,SNES,1995
Arc the Lad,PS,1995
Ridge Racer Revolution,PS,1995
NBA Jam Tournament Edition,SNES,1995
Road & Track Presents: The Need for Speed,PS,1995
Destruction Derby,PS,1995
Seiken Densetsu 3,SNES,1995
Gex,PS,1995
NFL GameDay,PS,1995
Street Fighter Alpha: Warriors Dreams,PS,1995
Tactics Ogre: Let Us Cling Together,SNES,1995
Battle Arena Toshinden 2,PS,1995
Virtua Cop,SAT,1995
Marios Picross,G,1995
Suikoden,PS,1995
Front Mission,SNES,1995
Tokimeki Memorial: Forever with You,PS,1995
Beyond The Beyond,PS,1995
Mortal Kombat 3,PS,1995
Bases Loaded 96: Double Header,PS,1995
SimCity 2000,SNES,1995
Super Puyo Puyo 2,SNES,1995
WipEout,PS,1995
Super Momotarou Dentetsu DX,SNES,1995
Warhawk,PS,1995
J-League Excite Stage 95,SNES,1995
Persona,PS,1995
Mobile Suit Gundam,PS,1995
Super Famista 4,SNES,1995
Cyber Troopers Virtual-On,SAT,1995
Mobile Suit Gundam,SAT,1995
Mario no Super Picross,SNES,1995
Fighting Vipers,SAT,1995
Mystery Dungeon: Shiren the Wanderer,SNES,1995
Tales of Phantasia,SNES,1995
Shin Megami Tensei: Devil Summoner,SAT,1995
